Trace1,
Freq,,Amp,,
           308040491,Hz,              -63.16, dBm,
           308636314,Hz,              -63.85, dBm,
           309232137,Hz,              -62.40, dBm,
           309827960,Hz,              -62.46, dBm,
           310423783,Hz,              -63.99, dBm,
           311019606,Hz,              -63.24, dBm,
           311615429,Hz,              -64.57, dBm,
           312211252,Hz,              -63.47, dBm,
           312807075,Hz,              -63.71, dBm,
           313402898,Hz,              -64.16, dBm,
           313998721,Hz,              -65.98, dBm,
           314594544,Hz,              -65.03, dBm,
           315190367,Hz,              -63.18, dBm,
           315786190,Hz,              -63.59, dBm,
           316382013,Hz,              -62.34, dBm,
           316977836,Hz,              -63.29, dBm,
           317573659,Hz,              -63.38, dBm,
           318169482,Hz,              -64.41, dBm,
           318765305,Hz,              -66.19, dBm,
           319361128,Hz,              -62.51, dBm,
           319956951,Hz,              -63.91, dBm,
           320552774,Hz,              -62.06, dBm,
           321148597,Hz,              -62.63, dBm,
           321744420,Hz,              -63.85, dBm,
           322340243,Hz,              -64.95, dBm,
           322936066,Hz,              -62.03, dBm,
           323531889,Hz,              -64.25, dBm,
           324127712,Hz,              -64.04, dBm,
           324723535,Hz,              -63.75, dBm,
           325319358,Hz,              -62.74, dBm,
           325915181,Hz,              -65.58, dBm,
           326511004,Hz,              -63.55, dBm,
           327106827,Hz,              -61.75, dBm,
           327702650,Hz,              -63.92, dBm,
           328298473,Hz,              -64.69, dBm,
           328894296,Hz,              -62.45, dBm,
           329490119,Hz,              -64.55, dBm,
           330085942,Hz,              -62.89, dBm,
           330681765,Hz,              -63.08, dBm,
           331277588,Hz,              -65.04, dBm,
           331873411,Hz,              -61.78, dBm,
           332469234,Hz,              -63.28, dBm,
           333065057,Hz,              -62.66, dBm,
           333660880,Hz,              -64.83, dBm,
           334256703,Hz,              -63.77, dBm,
           334852526,Hz,              -63.21, dBm,
           335448349,Hz,              -62.47, dBm,
           336044172,Hz,              -64.36, dBm,
           336639995,Hz,              -64.14, dBm,
           337235818,Hz,              -63.75, dBm,
           337831641,Hz,              -63.46, dBm,
           338427464,Hz,              -62.78, dBm,
           339023287,Hz,              -64.92, dBm,
           339619110,Hz,              -63.44, dBm,
           340214933,Hz,              -62.90, dBm,
           340810756,Hz,              -63.81, dBm,
           341406579,Hz,              -61.53, dBm,
           342002402,Hz,              -65.16, dBm,
           342598225,Hz,              -64.16, dBm,
           343194048,Hz,              -63.53, dBm,
           343789871,Hz,              -62.94, dBm,
           344385694,Hz,              -65.11, dBm,
           344981517,Hz,              -62.67, dBm,
           345577340,Hz,              -63.28, dBm,
           346173163,Hz,              -63.10, dBm,
           346768986,Hz,              -64.32, dBm,
           347364809,Hz,              -64.01, dBm,
           347960632,Hz,              -63.23, dBm,
           348556455,Hz,              -61.67, dBm,
           349152278,Hz,              -55.29, dBm,
           349748101,Hz,              -53.14, dBm,
           350343924,Hz,              -54.82, dBm,
           350939747,Hz,              -59.86, dBm,
           351535570,Hz,              -63.45, dBm,
           352131393,Hz,              -62.49, dBm,
           352727216,Hz,              -63.04, dBm,
           353323039,Hz,              -61.20, dBm,
           353918862,Hz,              -63.94, dBm,
           354514685,Hz,              -63.66, dBm,
           355110508,Hz,              -62.73, dBm,
           355706331,Hz,              -62.77, dBm,
           356302154,Hz,              -62.48, dBm,
           356897977,Hz,              -64.05, dBm,
           357493800,Hz,              -63.94, dBm,
